ProteinID	Annotation	IPR	GO	Superfamily	Transcript	TPM	Expression	Total_Peptide	Unique_Peptide
g1776.t1	JmjC domain, hydroxylase, putative	IPR003347	None	SSF51197	False	None	False	None	None
g1777.t1	transporter	IPR011701,IPR020846,IPR036259	GO:0022857,GO:0055085	SSF103473	False	None	False	None	None
g1778.t1	Intraflagellar transport protein 88 homolog	IPR011990,IPR013026,IPR019734	GO:0005515	SSF48452	False	None	False	None	None
g1779.t1	pre-rRNA-processing protein TSR2	IPR019398	None	None	False	None	False	None	None
g1780.t1	mitochondrial RNA binding protein 1, putative	IPR009044,IPR032680	GO:0003677,GO:0006355	SSF54447	False	None	False	None	None
g1781.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1782.t1	Emopamil binding protein, putative	None	None	None	False	None	False	None	None
g1783.t1	vesicular-fusion ATPase-like protein, putative	IPR003593,IPR003959,IPR027417,IPR039812,IPR041569	GO:0005524,GO:0016887,GO:0035494	SSF52540	False	None	False	None	None
g1784.t1	Cysteine desulfurase, mitochondrial	IPR000192,IPR010240,IPR015424,IPR016454,IPR020578	GO:0030170,GO:0031071,GO:0044571	SSF53383	False	None	False	None	None
g1785.t1	Nuclear valosin-containing protein-like	IPR003593,IPR003959,IPR003960,IPR027417,IPR041569	GO:0005524,GO:0016887	SSF52540	False	None	False	None	None
g1786.t1	membrane-associated protein, putative	None	None	None	False	None	False	None	None
g1787.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1788.t1	LSU ribosomal protein, mitochondrial, putative	None	None	None	False	None	False	None	None
g1789.t1	transmembrane protein, putative	None	None	None	False	None	False	None	None
g1790.t1	Exocyst complex component Sec6, putative	IPR010326	GO:0000145,GO:0006887	None	False	None	False	None	None
g1791.t1	tatD related deoxyribonuclease, putative	IPR001130,IPR032466	GO:0016788	SSF51556	False	None	False	None	None
g1792.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1793.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1794.t1	ferric reductase transmembrane protein, putative	IPR013112,IPR013121,IPR013130,IPR017927,IPR017938,IPR039261	GO:0016491	SSF52343,SSF63380	False	None	False	None	None
g1795.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1796.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1797.t1	Activating signal cointegrator 1 complex subunit 3	IPR001650,IPR003593,IPR004179,IPR011545,IPR014001,IPR014756,IPR027417,IPR036390	GO:0003676,GO:0005524	SSF158702,SSF46785,SSF52540,SSF81296	False	None	False	None	None
g1798.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1799.t1	Coiled-coil domain-containing protein 124 homolog	IPR010422	None	None	False	None	False	None	None
g1800.t1	SUMO-interacting motif-containing protein	None	None	None	False	None	False	None	None
g1801.t1	SUMO-interacting motif-containing protein	None	None	None	False	None	False	None	None
g1802.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1803.t1	UPF0301 protein BT 1078	IPR003774	None	SSF143456	False	None	False	None	None
g1804.t1	60S ribosomal protein L18	IPR000039,IPR021131,IPR036227	GO:0003735,GO:0005840,GO:0006412	SSF52080	False	None	False	None	None
g1805.t1	phosphoribosylpyrophosphate synthetase	None	None	None	False	None	False	None	None
g1806.t1	Atypical kinase COQ8A, mitochondrial	IPR004147,IPR011009,IPR034646	None	SSF56112	False	None	False	None	None
g1807.t1	PSP1 C-terminal conserved region, putative	IPR007557	None	None	False	None	False	None	None
g1808.t1	U3 small nucleolar RNA-associated protein 18 homolog	IPR036322	GO:0005515	SSF50978	False	None	False	None	None
g1809.t1	syntaxin 1B/2/3	IPR000727	None	SSF58038	False	None	False	None	None
g1810.t1	myosin heavy chain, putative	IPR027417	None	SSF52540	False	None	False	None	None
g1811.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1812.t1	Inosine triphosphate pyrophosphatase 1	IPR002637,IPR027502,IPR029001	GO:0009143,GO:0047429	SSF52972	False	None	False	None	None
g1813.t1	CDC16	IPR010126,IPR029058	GO:0005576,GO:0016787	SSF53474	False	None	False	None	None
g1814.t1	mRNA turnover protein 4 homolog	IPR001790,IPR033867,IPR040637,IPR043141	GO:0000027,GO:0042254	SSF160369	False	None	False	None	None
g1815.t1	Vacuolar protein sorting-associated protein 9A	IPR003123,IPR037191	None	SSF109993	False	None	False	None	None
g1816.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1817.t1	WD repeat-containing protein 55	IPR001680,IPR017986,IPR019775,IPR036322	GO:0005515	SSF50978	False	None	False	None	None
g1818.t1	TBC1 domain family member 31	IPR035969	None	SSF47923	False	None	False	None	None
g1819.t1	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P	IPR013717,IPR016542	GO:0006506,GO:0017176	None	False	None	False	None	None
g1820.t1	unnamed protein product	None	None	None	False	None	False	None	None
g1821.t1	mitochondrial RNA binding complex 1 subunit	None	None	None	False	None	False	None	None
g1822.t1	paraflagellar rod component, putative	IPR013744,IPR029058	None	SSF53474	False	None	False	None	None
g1823.t1	200 kDa antigen p200	None	None	None	False	None	False	None	None
g1824.t1	Pre-mRNA-splicing factor prp5	IPR001680,IPR017986,IPR019775,IPR020472,IPR036322	GO:0005515	SSF50978	False	None	False	None	None
g1825.t1	Putative adenylate cyclase regulatory protein	IPR001611,IPR006553	GO:0005515	SSF52047,SSF52058	False	None	False	None	None
g1826.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1827.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1828.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1829.t1	Anaphase-promoting complex subunit 3	IPR013026,IPR013105,IPR019734	GO:0005515	SSF81901	False	None	False	None	None
g1830.t1	structural maintenance of chromosome (SMC), putative	IPR003395,IPR010935,IPR024704,IPR027120,IPR027417,IPR036277	GO:0005515,GO:0005524,GO:0005694,GO:0016887,GO:0051276	SSF52540,SSF75553	False	None	False	None	None
g1831.t1	Mitogen-activated protein kinase kinase kinase 2	IPR000719,IPR003409,IPR008271,IPR011009	GO:0004672,GO:0005524,GO:0006468	SSF56112,SSF82185	False	None	False	None	None
g1832.t1	ATP-dependent RNA helicase dbp8	IPR000629,IPR001650,IPR011545,IPR014001,IPR014014,IPR027417	GO:0003676,GO:0004386,GO:0005524	SSF52540	False	None	False	None	None
g1833.t1	Trypanothione reductase	IPR001100,IPR001864,IPR004099,IPR012999,IPR016156,IPR023753,IPR036188	GO:0015036,GO:0016491,GO:0016668,GO:0045454,GO:0050660	SSF51905,SSF55424	False	None	False	None	None
g1834.t1	Mitochondrial ribosomal protein S11	None	None	SSF53137	False	None	False	None	None
g1835.t1	DNA replication licensing factor MCM8	IPR001208,IPR012340,IPR027417,IPR031327,IPR033762,IPR041562	GO:0003677,GO:0005524,GO:0032508	SSF50249,SSF52540	False	None	False	None	None
g1836.t1	Glutaredoxin-3	IPR002109,IPR004480,IPR033658,IPR036249	GO:0015035	SSF52833	False	None	False	None	None
g1837.t1	Histone H2B	IPR000558,IPR007125,IPR009072	GO:0000786,GO:0003677,GO:0046982	SSF47113	False	None	False	None	None
g1838.t1	Histone H2B	IPR000558,IPR007125,IPR009072	GO:0000786,GO:0003677,GO:0046982	SSF47113	False	None	False	None	None
g1839.t1	Histone H2B	IPR000558,IPR007125,IPR009072	GO:0000786,GO:0003677,GO:0046982	SSF47113	False	None	False	None	None
g1840.t1	Actin-related protein 2/3 complex subunit 5-C	IPR006789,IPR036743	GO:0005885,GO:0015629,GO:0030833,GO:0034314	SSF69103	False	None	False	None	None
g1841.t1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase hpo-8	IPR007482	None	None	False	None	False	None	None
g1842.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1843.t1	TT viral ORF2, putative	IPR036770	None	SSF48403	False	None	False	None	None
g1844.t1	kinetoplast DNA-associated protein	IPR001478,IPR036034	GO:0005515	SSF50156	False	None	False	None	None
g1845.t1	dual specificity protein phosphatase or MAP kinase phosphatase, putative	IPR000387,IPR016130,IPR020422,IPR029021	GO:0004725,GO:0006470,GO:0008138,GO:0016311,GO:0016791	SSF52799	False	None	False	None	None
g1846.t1	CEP19-like protein, putative	IPR029412	None	None	False	None	False	None	None
g1847.t1	trans-splicing factor, putative	IPR002687,IPR012976,IPR027105,IPR036070	GO:0000244,GO:0000398,GO:0046540	SSF89124	False	None	False	None	None
g1848.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1849.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1850.t1	metallo-peptidase, Clan MC, Family M14	None	None	None	False	None	False	None	None
g1851.t1	putative Tartrateresistant acid phosphatase type 5	IPR004843	GO:0016787	SSF56300	False	None	False	None	None
g1852.t1	Generative cell specific 1 protein, putative	IPR018928,IPR040326	None	None	False	None	False	None	None
g1853.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1854.t1	thiol-dependent reductase 1, putative	IPR004045,IPR010987,IPR036249,IPR036282,IPR040079,IPR041695	GO:0005515,GO:0006749	SSF47616,SSF52833	False	None	False	None	None
g1855.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1856.t1	Pyridoxal phosphate phosphatase YigL	IPR000150,IPR006379,IPR036412	GO:0016787	SSF56784	False	None	False	None	None
g1857.t1	4-hydroxybenzoate octaprenyltransferase	IPR000537,IPR030470,IPR039653	GO:0016021,GO:0016765	None	False	None	False	None	None
g1858.t1	ATP-dependent DNA helicase chl1	IPR002464,IPR006555,IPR010614,IPR014013,IPR027417	GO:0003676,GO:0003677,GO:0003678,GO:0004386,GO:0005524,GO:0006139,GO:0016818	SSF52540	False	None	False	None	None
g1859.t1	tRNA pseudouridine synthase, putative	IPR001656,IPR011760,IPR020103	GO:0001522,GO:0003723,GO:0009451,GO:0009982	SSF55120	False	None	False	None	None
g1860.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1861.t1	Ribosomal protein S6 kinase alpha-6	IPR000719,IPR000961,IPR001683,IPR008271,IPR011009,IPR011011,IPR017441,IPR017455,IPR024311,IPR036871	GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0035091	SSF56112,SSF57903,SSF64268	False	None	False	None	None
g1862.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1863.t1	hypothetical protein	IPR031468	GO:0008289	None	False	None	False	None	None
g1864.t1	proteasome regulatory non-ATPase subunit 2, putative	IPR016024,IPR016642,IPR035266,IPR040623	GO:0000502,GO:0030234,GO:0042176	SSF48371	False	None	False	None	None
g1865.t1	NOL1/NOP2/sun family, putative	IPR001678,IPR023267,IPR029063	GO:0001510,GO:0008168	SSF53335	False	None	False	None	None
g1866.t1	protein kinase	IPR000719,IPR001680,IPR011009,IPR016024,IPR017986,IPR036322	GO:0004672,GO:0005515,GO:0005524,GO:0006468	SSF48371,SSF50978,SSF56112	False	None	False	None	None
g1867.t1	DNA topoisomerase 3-beta-1	IPR000380,IPR003601,IPR003602,IPR006171,IPR013497,IPR023405,IPR034144	GO:0003677,GO:0003916,GO:0003917,GO:0006265	SSF56712	False	None	False	None	None
g1868.t1	Pachytene checkpoint protein 2 homolog	IPR003593,IPR003959,IPR003960,IPR027417,IPR044539	GO:0005524,GO:0016887	SSF52540	False	None	False	None	None
g1869.t1	mitochondrial 3' processome subunit 1	None	None	None	False	None	False	None	None
g1870.t1	mitochondrial RNA binding complex 1 subunit, putative	None	None	None	False	None	False	None	None
g1871.t1	replication factor A, 51kDa subunit, putative	IPR004365,IPR004591,IPR012340,IPR013955,IPR031657	GO:0003676,GO:0003677,GO:0005634,GO:0006260,GO:0006281,GO:0006310	SSF50249	False	None	False	None	None
g1872.t1	Carboxy-terminal kinesin 2	IPR001752,IPR019821,IPR027417	GO:0003777,GO:0005524,GO:0007018,GO:0008017,GO:1990939	SSF52540	False	None	False	None	None
g1873.t1	hypothetical protein	IPR029358	None	None	False	None	False	None	None
g1874.t1	Ribosome biogenesis protein BMS1 homolog	IPR007034,IPR012948,IPR027417,IPR030387,IPR037875,IPR039761	GO:0005525,GO:0005634,GO:0042254	SSF52540	False	None	False	None	None
g1875.t1	p21-C-terminal region-binding protein, putative	IPR025602	None	None	False	None	False	None	None
g1876.t1	DNA-binding protein APE_1087b	IPR002836,IPR036883	GO:0003677	SSF46950	False	None	False	None	None
g1877.t1	surface protease GP63, putative	IPR001577	GO:0004222,GO:0006508,GO:0007155,GO:0016020	SSF55486	False	None	False	None	None
g1878.t1	surface protease GP63	IPR001577	GO:0004222,GO:0006508,GO:0007155,GO:0016020	SSF55486	False	None	False	None	None
g1879.t1	Putative trans-acting enoyl reductase MT2525	IPR005097,IPR036291	GO:0016491	SSF51735	False	None	False	None	None
g1880.t1	Nucleus and spindle associated protein 1, putative	None	None	None	False	None	False	None	None
g1881.t1	Katanin p60 ATPase-containing subunit A1	IPR003593,IPR003959,IPR015415,IPR027417,IPR028596,IPR041569	GO:0005524,GO:0008017,GO:0008568,GO:0016887,GO:0051013	SSF52540	False	None	False	None	None
g1882.t1	hypothetical protein	IPR013087	None	None	False	None	False	None	None
g1883.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1884.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1885.t1	Choline/Carnitine o-acyltransferase, putative	IPR039551	None	SSF52777	False	None	False	None	None
g1886.t1	DIS3-like exonuclease, putative	IPR001900,IPR012340,IPR022966	GO:0003723,GO:0004540	SSF50249	False	None	False	None	None
g1887.t1	WD repeat-containing protein 75	None	None	None	False	None	False	None	None
g1888.t1	carbonic anhydrase-like protein, putative	IPR001148,IPR023561,IPR036398,IPR041891	GO:0004089,GO:0008270	SSF51069	False	None	False	None	None
g1889.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1890.t1	TPR repeat, putative	IPR013026,IPR019734	GO:0005515	None	False	None	False	None	None
g1891.t1	Zinc finger MYND domain-containing protein 10	None	None	None	False	None	False	None	None
g1892.t1	Aurora kinase	IPR000719,IPR008271,IPR011009,IPR017441,IPR030616	GO:0004672,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g1893.t1	DNA repair protein RAD50	IPR004584,IPR013134,IPR027417,IPR038729	GO:0000723,GO:0005634,GO:0006281,GO:0016887,GO:0030870	SSF52540,SSF75712	False	None	False	None	None
g1894.t1	40S ribosomal protein S26-3	IPR000892	GO:0003735,GO:0005840,GO:0006412	None	False	None	False	None	None
g1895.t1	DNA repair protein RAD51 homolog 1	IPR003593,IPR010995,IPR011941,IPR013632,IPR016467,IPR020587,IPR020588,IPR027417,IPR033925	GO:0000150,GO:0000166,GO:0000724,GO:0003677,GO:0003690,GO:0003697,GO:0005524,GO:0006259,GO:0006281,GO:0008094,GO:1990426	SSF47794,SSF52540	False	None	False	None	None
g1896.t1	cupin	IPR009327,IPR011051,IPR039935	None	SSF51182	False	None	False	None	None
g1897.t1	Modifier of rudimentary (Mod(r)) protein, putative	IPR009851	None	None	False	None	False	None	None
g1898.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1899.t1	putative protein kinase	IPR000719,IPR008271,IPR011009,IPR017441	GO:0004672,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g1900.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1901.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1902.t1	Dynein heavy chain 1, axonemal	IPR004273,IPR013602,IPR024317,IPR024743,IPR026983,IPR027417,IPR035699,IPR035706,IPR041228,IPR041466,IPR041589,IPR041658	GO:0005524,GO:0007018,GO:0008569,GO:0030286	SSF52540	False	None	False	None	None
g1903.t1	protein kinase	IPR000719,IPR008271,IPR011009,IPR016024,IPR044591	GO:0000911,GO:0000914,GO:0004672,GO:0005524,GO:0006468,GO:0008017	SSF48371,SSF56112	False	None	False	None	None
g1904.t1	ER lumen protein-retaining receptor erd-2.1	IPR000133	GO:0006621,GO:0016021,GO:0046923	None	False	None	False	None	None
g1905.t1	protein transport protein SEC13, putative	IPR001680,IPR017986,IPR036322,IPR037363,IPR037596	GO:0005198,GO:0005515,GO:0016192,GO:0030127,GO:0090114,GO:1904263	SSF50978	False	None	False	None	None
g1906.t1	Ankyrin repeat-containing protein P16F5.05c	IPR002110,IPR020683,IPR036770	GO:0005515	SSF48403	False	None	False	None	None
g1907.t1	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit A	IPR004843,IPR006186,IPR031675,IPR037981	GO:0000164,GO:0004722,GO:0016787	SSF56300	False	None	False	None	None
g1908.t1	BTB/POZ domain-containing protein KCTD4	IPR000210,IPR003131,IPR011333	GO:0005515,GO:0051260	SSF54695	False	None	False	None	None
g1909.t1	hypothetical protein	IPR028045	GO:0000725	None	False	None	False	None	None
g1910.t1	Sas10/Utp3/C1D family/Sas10 C-terminal domain containing protein, putative	IPR007146,IPR018972	None	None	False	None	False	None	None
g1911.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1912.t1	RNA polymerase I, putative	None	None	None	False	None	False	None	None
g1913.t1	putative calmodulin	IPR002048,IPR011992,IPR039508	GO:0005509	SSF47473	False	None	False	None	None
g1914.t1	RNA polymerase B subunit RPB8, putative	IPR005570,IPR012340	GO:0006351	SSF50249	False	None	False	None	None
g1915.t1	putative U4/U6 small nuclear ribonuclear protein	None	None	None	False	None	False	None	None
g1916.t1	Cold shock domain-containing protein 3	IPR002059,IPR011129,IPR012340	GO:0003676	SSF50249	False	None	False	None	None
g1917.t1	DNA replication licensing factor MCM2	IPR001208,IPR008045,IPR012340,IPR018525,IPR027417,IPR027925,IPR031327,IPR033762,IPR041562	GO:0003677,GO:0005524,GO:0005634,GO:0006260,GO:0006270,GO:0032508,GO:0042555,GO:1905775	SSF50249,SSF52540	False	None	False	None	None
g1918.t1	ubiquitin-protein ligase-like, putative	IPR011044	None	SSF50969	False	None	False	None	None
g1919.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1920.t1	Ribonucleoside-diphosphate reductase large chain 1	IPR000788,IPR005144,IPR008926,IPR013346,IPR013509,IPR039718	GO:0004748,GO:0005524,GO:0006260	SSF48168,SSF51998	False	None	False	None	None
g1921.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1922.t1	endonuclease/exonuclease/phosphatase	IPR005135,IPR036691	None	SSF56219	False	None	False	None	None
g1923.t1	EF hand, putative	IPR002048,IPR011992,IPR018247	GO:0005509	SSF47473	False	None	False	None	None
g1924.t1	Mitochondrial ribosomal protein S16	None	None	None	False	None	False	None	None
g1925.t1	Mitochondrial import receptor subunit ATOM46	IPR016024	None	SSF48371	False	None	False	None	None
g1926.t1	oxidoreductase-like protein	IPR036291	None	SSF51735	False	None	False	None	None
g1927.t1	Luminal-binding protein 5	IPR013126,IPR018181,IPR029047,IPR029048,IPR042050,IPR043129	GO:0005524,GO:0016887	SSF100920,SSF100934,SSF53067	False	None	False	None	None
g1928.t1	Mediator of RNA polymerase II transcription subunit 37a	IPR013126,IPR018181,IPR029047,IPR029048,IPR042050,IPR043129	GO:0005524,GO:0016887	SSF100920,SSF100934,SSF53067	False	None	False	None	None
g1929.t1	NADPH--cytochrome P450 reductase	IPR001094,IPR001433,IPR001709,IPR003097,IPR008254,IPR017927,IPR017938,IPR029039,IPR039261	GO:0010181,GO:0016491	SSF52218,SSF52343,SSF63380	False	None	False	None	None
g1930.t1	calmodulin-like protein containing EF hand	IPR011992	None	SSF47473	False	None	False	None	None
g1931.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1932.t1	Chaperone protein DnaJ	IPR001623,IPR018253,IPR036869	None	SSF46565	False	None	False	None	None
g1933.t1	haloacid dehalogenase-like hydrolase, putative	IPR000150,IPR006379,IPR036412	GO:0016787	SSF56784	False	None	False	None	None
g1934.t1	DNA polymerase kappa	IPR001126,IPR017961,IPR022880,IPR024728,IPR036775,IPR043502	GO:0003684,GO:0003887,GO:0006281	SSF100879,SSF56672	False	None	False	None	None
g1935.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1936.t1	DNA polymerase kappa	IPR001126,IPR017961,IPR022880,IPR024728,IPR036775,IPR043502	GO:0003684,GO:0003887,GO:0006281	SSF100879,SSF56672	False	None	False	None	None
g1937.t1	impB/mucB/samB family	IPR001126,IPR043502	GO:0006281	SSF56672	False	None	False	None	None
g1938.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1939.t1	surface protease GP63	IPR001577	GO:0004222,GO:0006508,GO:0007155,GO:0016020	SSF55486	False	None	False	None	None
g1940.t1	UPF0382 membrane protein HI 1073	IPR006696	None	None	False	None	False	None	None
g1941.t1	viral A-type inclusion protein	None	None	None	False	None	False	None	None
g1942.t1	viral A-type inclusion protein	None	None	None	False	None	False	None	None
g1943.t1	ATP-dependent RNA helicase FAL1	IPR000629,IPR001650,IPR011545,IPR014001,IPR014014,IPR027417	GO:0003676,GO:0004386,GO:0005524	SSF52540	False	None	False	None	None
g1944.t1	target SNARE, putative	IPR000727,IPR006011,IPR010989	GO:0016020,GO:0016192	SSF47661	False	None	False	None	None
g1945.t1	membrane-associated protein, putative	None	None	None	False	None	False	None	None
g1946.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1947.t1	Pyruvate kinase 2	IPR001697,IPR011037,IPR015793,IPR015795,IPR015813,IPR018209,IPR036918	GO:0000287,GO:0003824,GO:0004743,GO:0006096,GO:0030955	SSF50800,SSF51621,SSF52935	False	None	False	None	None
g1948.t1	nuclear segregation protein, putative	IPR039604	None	None	False	None	False	None	None
g1949.t1	protein transport protein Sec13	IPR001680,IPR017986,IPR036322,IPR037363	GO:0005198,GO:0005515	SSF50978	False	None	False	None	None
g1950.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1951.t1	syntaxin 5, putative	IPR000727,IPR010989	GO:0016020,GO:0016192	SSF47661	False	None	False	None	None
g1952.t1	TFIIH basal transcription factor subunit	None	None	None	False	None	False	None	None
g1953.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1954.t1	Glycylpeptide N-tetradecanoyltransferase 2	IPR000903,IPR016181,IPR022676,IPR022677,IPR022678	GO:0004379,GO:0006499	SSF55729	False	None	False	None	None
g1955.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1956.t1	AP-4 complex subunit sigma-1	IPR011012,IPR016635,IPR022775	GO:0015031	SSF64356	False	None	False	None	None
g1957.t1	NLI interacting factor-like phosphatase	IPR004274,IPR036412	None	SSF56784	False	None	False	None	None
g1958.t1	mitochondrial carrier protein	IPR018108,IPR023395	None	SSF103506	False	None	False	None	None
g1959.t1	MEKK-related kinase 1, putative	IPR000719,IPR008271,IPR011009,IPR017441	GO:0004672,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g1960.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1961.t1	Vacuolar protein 8	IPR000225,IPR016024	GO:0005515	SSF48371	False	None	False	None	None
g1962.t1	Utp14 protein, putative	IPR006709	GO:0006364,GO:0032040	None	False	None	False	None	None
g1963.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1964.t1	U2 small nuclear ribonucleoprotein 40K, putative	IPR044640	GO:0000398,GO:0030620	SSF52058	False	None	False	None	None
g1965.t1	Hsp70 protein, putative	IPR013126,IPR043129	GO:0005524,GO:0016887	SSF53067	False	None	False	None	None
g1966.t1	Histone chaperone Rttp106-like, putative	IPR013719,IPR016024	None	SSF48371,SSF50729	False	None	False	None	None
g1967.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1968.t1	B9 domain-containing protein 1	IPR010796	None	None	False	None	False	None	None
g1969.t1	leucine-rich repeat protein (LRRP)	IPR001611,IPR003591,IPR038894	GO:0005515,GO:0010165	SSF52047	False	None	False	None	None
g1970.t1	putative intraflagellar transport protein 140	IPR001680,IPR036322	GO:0005515	SSF50978,SSF69304	False	None	False	None	None
g1971.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1972.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1973.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1974.t1	Protein SEY1 homolog	IPR008803,IPR027417,IPR030386	GO:0005525	SSF52540	False	None	False	None	None
g1975.t1	19S proteasome non-atpase subunit 8	IPR000555,IPR024969,IPR037518	GO:0005515,GO:0008237,GO:0070122	None	False	None	False	None	None
g1976.t1	19S proteasome non-atpase subunit 8	IPR000555,IPR024969,IPR037518	GO:0005515,GO:0008237,GO:0070122	None	False	None	False	None	None
g1977.t1	ATP-dependent RNA helicase DED1	IPR000629,IPR001650,IPR011545,IPR014001,IPR014014,IPR027417	GO:0003676,GO:0004386,GO:0005524	SSF52540	False	None	False	None	None
g1978.t1	TPR repeat, putative	IPR011990,IPR013026,IPR019734	GO:0005515	SSF48452	False	None	False	None	None
g1979.t1	kinesin motor domain containing protein, putative	IPR001752,IPR003409,IPR027417	GO:0005524,GO:0007018,GO:0008017,GO:1990939	SSF52540,SSF82185	False	None	False	None	None
g1980.t1	60S ribosomal protein L17	IPR001063,IPR005721,IPR018260,IPR036394	GO:0003735,GO:0005840,GO:0006412,GO:0015934	SSF54843	False	None	False	None	None
g1981.t1	GPI-anchored surface protein, putative	IPR009688	None	None	False	None	False	None	None
g1982.t1	glycosyltransferase family 15, putative	IPR002685,IPR029044	GO:0000030,GO:0006486,GO:0016020	SSF53448	False	None	False	None	None
g1983.t1	9,11-endoperoxide prostaglandin H2 reductase	IPR018170,IPR020471,IPR023210,IPR036812	GO:0016491,GO:0047834	SSF51430	False	None	False	None	None
g1984.t1	leucine-rich repeat protein (LRRP)	IPR001611	GO:0005515	SSF52047	False	None	False	None	None
g1985.t1	Rtf2 RING-finger, putative	IPR006735	GO:1902979	None	False	None	False	None	None
g1986.t1	Ribosome biogenesis protein brx1	IPR007109,IPR026532	GO:0006364,GO:0019843	SSF52954	False	None	False	None	None
g1987.t1	Qb-SNARE protein	IPR000727	None	SSF58038	False	None	False	None	None
g1988.t1	Putative vacuolar protein	None	None	None	False	None	False	None	None
g1989.t1	40S ribosomal protein S2	IPR000851,IPR005324,IPR005711,IPR013810,IPR018192,IPR020568	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935	SSF54211,SSF54768	False	None	False	None	None
g1990.t1	peroxin 13	IPR001452,IPR036028	GO:0005515	SSF50044	False	None	False	None	None
g1991.t1	chaperone protein DnaJ, putative	IPR001623,IPR036869	None	SSF46565	False	None	False	None	None
g1992.t1	transmembrane protein, putative	IPR001623,IPR036869	None	SSF46565	False	None	False	None	None
g1993.t1	rRNA 2'-O-methyltransferase fibrillarin	IPR000692,IPR020813,IPR029063	GO:0003723,GO:0006364,GO:0008168	SSF53335	False	None	False	None	None
g1994.t1	QA-SNARE protein	IPR000727	None	SSF58038	False	None	False	None	None
g1995.t1	protein kinase	IPR000719,IPR000938,IPR008271,IPR011009,IPR017441,IPR036859	GO:0004672,GO:0005524,GO:0006468	SSF56112,SSF74924	False	None	False	None	None
g1996.t1	protein kinase, putative	IPR000719,IPR008271,IPR011009,IPR017441	GO:0004672,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g1997.t1	aminopeptidase, putative	IPR000994,IPR036005,IPR036390	None	SSF46785,SSF55920	False	None	False	None	None
g1998.t1	hypothetical protein	None	None	None	False	None	False	None	None
g1999.t1	Multiprotein-bridging factor 1	IPR001387,IPR010982,IPR013729	GO:0003677	SSF47413	False	None	False	None	None
g2000.t1	polyprenyl synthase	IPR000092,IPR008949	GO:0008299	SSF48576	False	None	False	None	None
g2001.t1	Complex 1 protein (LYR family), putative	IPR016488	None	None	False	None	False	None	None
g2002.t1	Kinesin-like protein KIN-14R	IPR001752,IPR002014,IPR008942,IPR019821,IPR027417	GO:0003777,GO:0005524,GO:0006886,GO:0007018,GO:0008017,GO:1990939	SSF48464,SSF52540	False	None	False	None	None
g2003.t1	EH domain-containing protein 4	IPR022812,IPR027417,IPR030381,IPR040990	GO:0005525	SSF52540	False	None	False	None	None
